File,aid,Date,2,17,65,81,97,129,145
QC_Day_2025081_aid0001,aid0001,2025-03-22 00:00:00+00:00,,10.0,135.0,38.0,,,
QC_Day_2025089_aid0001,aid0001,2025-03-30 00:00:00+00:00,,12.0,159.0,44.0,,,
QC_Day_2025097_aid0001,aid0001,2025-04-07 00:00:00+00:00,4.0,14.0,5405.0,19.0,,3.0,
QC_Day_2025105_aid0001,aid0001,2025-04-15 00:00:00+00:00,1052.0,4.0,12437.0,10.0,,370.0,
QC_Day_2025113_aid0001,aid0001,2025-04-23 00:00:00+00:00,1.0,6.0,4410.0,52.0,,,
QC_Day_2025121_aid0001,aid0001,2025-05-01 00:00:00+00:00,,1.0,6195.0,54.0,,,
QC_Day_2025129_aid0001,aid0001,2025-05-09 00:00:00+00:00,200.0,,13124.0,40.0,,49.0,7.0
QC_Day_2025137_aid0001,aid0001,2025-05-17 00:00:00+00:00,11572.0,,3907.0,11.0,,55.0,
QC_Day_2025145_aid0001,aid0001,2025-05-25 00:00:00+00:00,10488.0,,5459.0,10.0,,18.0,3.0
QC_Day_2025153_aid0001,aid0001,2025-06-02 00:00:00+00:00,300.0,,13512.0,40.0,,1518.0,1.0
QC_Day_2025161_aid0001,aid0001,2025-06-10 00:00:00+00:00,1921.0,1.0,11060.0,29.0,,797.0,24.0
QC_Day_2025169_aid0001,aid0001,2025-06-18 00:00:00+00:00,13710.0,,1947.0,15.0,,429.0,
QC_Day_2025177_aid0001,aid0001,2025-06-26 00:00:00+00:00,12054.0,,3410.0,3.0,,524.0,
QC_Day_2025185_aid0001,aid0001,2025-07-04 00:00:00+00:00,9917.0,,4777.0,3.0,,1167.0,
QC_Day_2025193_aid0001,aid0001,2025-07-12 00:00:00+00:00,13113.0,,2170.0,20.0,3.0,755.0,5.0
QC_Day_2025201_aid0001,aid0001,2025-07-20 00:00:00+00:00,14354.0,,1755.0,9.0,,1.0,
QC_Day_2025209_aid0001,aid0001,2025-07-28 00:00:00+00:00,14941.0,,366.0,,5.0,818.0,
QC_Day_2025217_aid0001,aid0001,2025-08-05 00:00:00+00:00,15667.0,,459.0,,4.0,,
QC_Day_2025225_aid0001,aid0001,2025-08-13 00:00:00+00:00,6037.0,6.0,8811.0,53.0,,922.0,2.0
QC_Day_2025233_aid0001,aid0001,2025-08-21 00:00:00+00:00,9217.0,,5898.0,4.0,,216.0,
QC_Day_2025241_aid0001,aid0001,2025-08-29 00:00:00+00:00,3745.0,,9505.0,28.0,,2676.0,
QC_Day_2025249_aid0001,aid0001,2025-09-06 00:00:00+00:00,13453.0,,2065.0,1.0,,416.0,
QC_Day_2025257_aid0001,aid0001,2025-09-14 00:00:00+00:00,7185.0,,8291.0,35.0,3.0,,10.0
QC_Day_2025265_aid0001,aid0001,2025-09-22 00:00:00+00:00,,1.0,11693.0,38.0,,1.0,1.0
