File,aid,Date,2,17,65,81,97,129,145,161
QC_Day_2024313_aid0001,aid0001,2024-11-08 00:00:00+00:00,,1.0,11304,50.0,,,,
QC_Day_2024321_aid0001,aid0001,2024-11-16 00:00:00+00:00,58.0,2.0,13571,52.0,,,9.0,
QC_Day_2024329_aid0001,aid0001,2024-11-24 00:00:00+00:00,1.0,8.0,7238,58.0,,,7.0,
QC_Day_2024337_aid0001,aid0001,2024-12-02 00:00:00+00:00,,5.0,3804,37.0,,,6.0,
QC_Day_2024345_aid0001,aid0001,2024-12-10 00:00:00+00:00,1.0,15.0,5347,47.0,,,,
QC_Day_2024353_aid0001,aid0001,2024-12-18 00:00:00+00:00,2.0,17.0,4807,38.0,,,,
QC_Day_2024361_aid0001,aid0001,2024-12-26 00:00:00+00:00,3.0,27.0,2376,26.0,,,,
QC_Day_2025001_aid0001,aid0001,2025-01-01 00:00:00+00:00,3252.0,2.0,12961,54.0,,,8.0,
QC_Day_2025009_aid0001,aid0001,2025-01-09 00:00:00+00:00,850.0,5.0,10299,56.0,,,1.0,
QC_Day_2025017_aid0001,aid0001,2025-01-17 00:00:00+00:00,1982.0,7.0,10209,40.0,,,4.0,
QC_Day_2025025_aid0001,aid0001,2025-01-25 00:00:00+00:00,7136.0,,10853,27.0,,,20.0,
QC_Day_2025033_aid0001,aid0001,2025-02-02 00:00:00+00:00,,12.0,3720,24.0,,,,
QC_Day_2025041_aid0001,aid0001,2025-02-10 00:00:00+00:00,,19.0,1939,26.0,,,,
QC_Day_2025049_aid0001,aid0001,2025-02-18 00:00:00+00:00,,3.0,4629,44.0,,,2.0,
QC_Day_2025057_aid0001,aid0001,2025-02-26 00:00:00+00:00,,13.0,106,38.0,,,,
QC_Day_2025065_aid0001,aid0001,2025-03-06 00:00:00+00:00,,15.0,521,37.0,,,,
QC_Day_2025073_aid0001,aid0001,2025-03-14 00:00:00+00:00,,22.0,435,45.0,,,,
QC_Day_2025081_aid0001,aid0001,2025-03-22 00:00:00+00:00,,16.0,82,41.0,,,,
QC_Day_2025089_aid0001,aid0001,2025-03-30 00:00:00+00:00,,10.0,536,42.0,,,,
QC_Day_2025097_aid0001,aid0001,2025-04-07 00:00:00+00:00,7.0,7.0,5582,34.0,,,,
QC_Day_2025105_aid0001,aid0001,2025-04-15 00:00:00+00:00,4961.0,,11767,18.0,,502.0,14.0,
QC_Day_2025113_aid0001,aid0001,2025-04-23 00:00:00+00:00,,21.0,1298,38.0,,,,
QC_Day_2025121_aid0001,aid0001,2025-05-01 00:00:00+00:00,9.0,5.0,8139,35.0,,6.0,,
QC_Day_2025129_aid0001,aid0001,2025-05-09 00:00:00+00:00,2.0,,17443,47.0,,16.0,,
QC_Day_2025137_aid0001,aid0001,2025-05-17 00:00:00+00:00,13236.0,,5711,31.0,,57.0,,
QC_Day_2025145_aid0001,aid0001,2025-05-25 00:00:00+00:00,17591.0,,1602,,,168.0,9.0,
