File,aid,Date,2,17,33,65,81,97,129,145
QC_Night_2025129_aid0001,aid0001,2025-05-09 00:00:00+00:00,11.0,55.0,,1714.0,2.0,,1.0,
QC_Night_2025137_aid0001,aid0001,2025-05-17 00:00:00+00:00,11470.0,,,7491.0,24.0,,110.0,
QC_Night_2025145_aid0001,aid0001,2025-05-25 00:00:00+00:00,19088.0,,,274.0,3.0,,,
QC_Night_2025153_aid0001,aid0001,2025-06-02 00:00:00+00:00,33.0,53.0,,2614.0,1.0,,,
QC_Night_2025161_aid0001,aid0001,2025-06-10 00:00:00+00:00,861.0,49.0,,1838.0,7.0,,,
QC_Night_2025169_aid0001,aid0001,2025-06-18 00:00:00+00:00,19375.0,,,,,,,
QC_Night_2025177_aid0001,aid0001,2025-06-26 00:00:00+00:00,13461.0,18.0,,2816.0,8.0,,,
QC_Night_2025185_aid0001,aid0001,2025-07-04 00:00:00+00:00,2804.0,49.0,,3537.0,25.0,,,
QC_Night_2025193_aid0001,aid0001,2025-07-12 00:00:00+00:00,19375.0,,,,,,,
QC_Night_2025201_aid0001,aid0001,2025-07-20 00:00:00+00:00,19375.0,,,,,,,
QC_Night_2025209_aid0001,aid0001,2025-07-28 00:00:00+00:00,19375.0,,,,,,,
QC_Night_2025217_aid0001,aid0001,2025-08-05 00:00:00+00:00,19375.0,,,,,,,
QC_Night_2025225_aid0001,aid0001,2025-08-13 00:00:00+00:00,18552.0,,,823.0,,,,
QC_Night_2025233_aid0001,aid0001,2025-08-21 00:00:00+00:00,19375.0,,,,,,,
QC_Night_2025241_aid0001,aid0001,2025-08-29 00:00:00+00:00,15628.0,19.0,,2310.0,10.0,,,
QC_Night_2025249_aid0001,aid0001,2025-09-06 00:00:00+00:00,19375.0,,,,,,,
QC_Night_2025257_aid0001,aid0001,2025-09-14 00:00:00+00:00,19375.0,,,,,,,
QC_Night_2025265_aid0001,aid0001,2025-09-22 00:00:00+00:00,33.0,79.0,3.0,1366.0,1.0,,,
