File,aid,Date,2,3,17,65,81,97,129,145
QC_Day_2025057_aid0001,aid0001,2025-02-26 00:00:00+00:00,2,249,5.0,2997,34.0,,,
QC_Day_2025065_aid0001,aid0001,2025-03-06 00:00:00+00:00,1,249,2.0,2085,23.0,,,
QC_Day_2025073_aid0001,aid0001,2025-03-14 00:00:00+00:00,1,249,5.0,3077,30.0,,,
QC_Day_2025081_aid0001,aid0001,2025-03-22 00:00:00+00:00,1,249,6.0,703,27.0,,,
QC_Day_2025089_aid0001,aid0001,2025-03-30 00:00:00+00:00,45,249,12.0,13816,21.0,,1.0,
QC_Day_2025097_aid0001,aid0001,2025-04-07 00:00:00+00:00,63,249,,15937,16.0,,13.0,13.0
QC_Day_2025105_aid0001,aid0001,2025-04-15 00:00:00+00:00,10724,249,,10278,,,135.0,
QC_Day_2025113_aid0001,aid0001,2025-04-23 00:00:00+00:00,511,249,21.0,11977,16.0,,2.0,
QC_Day_2025121_aid0001,aid0001,2025-05-01 00:00:00+00:00,484,249,3.0,19450,20.0,,420.0,4.0
QC_Day_2025129_aid0001,aid0001,2025-05-09 00:00:00+00:00,814,249,,17165,24.0,,1352.0,1.0
QC_Day_2025137_aid0001,aid0001,2025-05-17 00:00:00+00:00,14117,249,,3640,24.0,,4135.0,3.0
QC_Day_2025145_aid0001,aid0001,2025-05-25 00:00:00+00:00,21760,249,,178,,,1.0,
QC_Day_2025153_aid0001,aid0001,2025-06-02 00:00:00+00:00,2590,249,,9192,3.0,,9895.0,13.0
QC_Day_2025161_aid0001,aid0001,2025-06-10 00:00:00+00:00,5601,249,,13869,,,1987.0,25.0
QC_Day_2025169_aid0001,aid0001,2025-06-18 00:00:00+00:00,16242,249,,4526,,,824.0,
QC_Day_2025177_aid0001,aid0001,2025-06-26 00:00:00+00:00,17178,249,,4028,4.0,,609.0,
QC_Day_2025185_aid0001,aid0001,2025-07-04 00:00:00+00:00,20856,249,,626,,,396.0,
QC_Day_2025193_aid0001,aid0001,2025-07-12 00:00:00+00:00,17968,249,,3863,1.0,,39.0,10.0
QC_Day_2025201_aid0001,aid0001,2025-07-20 00:00:00+00:00,21695,249,,217,,,27.0,
QC_Day_2025209_aid0001,aid0001,2025-07-28 00:00:00+00:00,21497,249,,441,,,1.0,
QC_Day_2025217_aid0001,aid0001,2025-08-05 00:00:00+00:00,20721,249,,1172,,,46.0,
QC_Day_2025225_aid0001,aid0001,2025-08-13 00:00:00+00:00,12666,249,,7773,,6.0,1181.0,11.0
QC_Day_2025233_aid0001,aid0001,2025-08-21 00:00:00+00:00,10074,249,,9227,3.0,,2506.0,
QC_Day_2025241_aid0001,aid0001,2025-08-29 00:00:00+00:00,6854,249,,13110,7.0,,1833.0,7.0
QC_Day_2025249_aid0001,aid0001,2025-09-06 00:00:00+00:00,6537,249,,12486,8.0,,1211.0,1.0
QC_Day_2025257_aid0001,aid0001,2025-09-14 00:00:00+00:00,9572,249,,7649,10.0,,4519.0,14.0
QC_Day_2025265_aid0001,aid0001,2025-09-22 00:00:00+00:00,1515,249,1.0,16467,8.0,,2627.0,17.0
